match_id,date,day_of_week,season,team,competition,opponent,venue,is_home,is_derby,is_weekend,is_championship,is_senior,throw_in_hour,temperature_c,rainfall_mm,promo_posts,home_form_points,score_for,score_against,result,attendance,split
M0001,2022-02-12,Saturday,2022,U16 Hurling,Championship,Greenhills Sarsfields,Sean Walsh Park,1,0,1,1,0,16,,2.7,6,8,0-10,1-20,Loss,376,train
M0002,2022-02-15,Tuesday,2022,Minor Football,Championship,Ballycragh Gaels,Tymon Park North,1,0,0,1,0,19,5.8,0.7,6,11,1-10,2-07,Draw,364,train
M0003,2022-02-19,Saturday,2022,Senior Camogie,Championship,Rathcoole Shamrocks,Away Ground,0,0,1,1,1,11,5.3,0.0,5,14,4-15,4-10,Win,689,train
M0004,2022-02-23,Wednesday,2022,Senior Hurling,League,Brookfield Éire Óg,Away Ground,0,0,0,0,1,19,,0.0,6,7,2-10,2-06,Win,480,train
M0005,2022-02-28,Monday,2022,Minor Football,Cup,Oldbawn St Brigid's,Killinarden Park,1,0,0,0,0,19,3.7,0.0,6,11,2-16,2-06,Win,371,train
M0006,2022-03-05,Saturday,2022,Minor Football,Cup,Fettercairn Celtic,Killinarden Park,1,1,1,0,0,15,10.0,0.0,9,4,4-12,4-17,Loss,619,train
M0007,2022-03-12,Saturday,2022,Ladies Senior Football,Championship,Springfield Harps,Sean Walsh Park,1,0,1,1,1,11,8.2,0.0,6,4,3-16,4-18,Loss,617,train
M0008,2022-03-18,Friday,2022,Minor Football,Cup,Killinarden Rovers,Away Ground,0,1,0,0,0,18,5.9,0.0,7,5,3-09,3-04,Win,377,train
M0009,2022-03-24,Thursday,2022,Minor Football,Cup,Kilnamanagh Óg,Away Ground,0,0,0,0,0,19,8.9,0.0,5,4,4-04,4-14,Loss,290,train
M0010,2022-04-01,Friday,2022,Senior Hurling,Championship,Rathcoole Shamrocks,Away Ground,0,0,0,1,1,19,9.5,1.9,9,9,0-21,1-08,Win,736,test
